to_translate;translation
Die FQA (Fachstelle für Pflege- und Behinderteneinrichtungen - Qualitätsentwicklung und Aufsicht - ehemals Heimaufsicht) ist zuständig für alle stationären Alten- und Behindertenhilfeeinrichtungen, Hospize sowie für die ambulant betreuten Wohngemeinschaften der Altenhilfe und die betreuten Wohngruppen der Behindertenhilfe in der Landeshauptstadt München.\n\nWir handeln unabhängig auf der Grundlage des gesetzlichen Auftrages und stellen den Schutz der Bewohnerinnen und Bewohner in den Einrichtungen der Alten- und Behindertenhilfe in den Mittelpunkt unserer Arbeit. Wir arbeiten qualifiziert, praxisorientiert und auf dem aktuellen Stand fachlicher Erkenntnisse.\n\nWir sind ein professionelles Team aus erfahrenen Mitarbeiterinnen und Mitarbeitern, die Ihnen gerne vertraulich in Fragen bei der pflegerischen und betreuerischen Versorgung in Einrichtungen weiterhelfen.\n\nWir\n* beraten Bewohnerinnen und Bewohner, Angehörige und Einrichtungen\n* sorgen für die Einhaltung festgelegter Qualitätsstandards in der Pflege und Betreuung\n* suchen jede Einrichtung mehrmals im Jahr auf\n* gehen Beschwerden umgehend nach\n* führen anlassbezogene und unangemeldete Kontrollen durch;Die Einrichtung FQA ist wichtig. FQA steht für Fachstelle für Pflege- und Behinderteneinrichtungen - Qualitätsentwicklung und Aufsicht. Die Leute von der FQA kümmern sich um verschiedene Orte. Diese Orte sind zum Beispiel Heime für alte Menschen oder für Menschen mit Behinderungen. Auch Orte wo Menschen zusammen wohnen und Pflege brauchen gehören dazu. Die FQA gibt es in der Stadt München.\n\nDie FQA macht ihre Arbeit selbstständig. Sie machen die Arbeit nach den Regeln vom Gesetz. Die FQA hat eine wichtige Aufgabe: Sie passen gut auf die Menschen in den Heimen auf. Bei der Arbeit von der FQA stehen immer die Menschen im Vordergrund. Die Menschen, die in den Heimen leben. Die FQA macht ihre Arbeit gut und versteht viel davon. Sie wissen, was in der Praxis wichtig ist. Und sie lernen immer mehr dazu.\n\nIn der FQA arbeiten viele Menschen. Diese Menschen haben viel Erfahrung. Sie helfen Ihnen gerne. Zum Beispiel, wenn Sie Fragen zur Pflege haben. Oder Fragen dazu, wie Menschen in den Heimen versorgt werden.\n\nDie Mitarbeiter und Mitarbeiterinnen von der FQA:\n* beantworten Ihre Fragen, wenn Sie in einem Heim leben\n* beantworten auch Fragen von Ihren Familien-Mitgliedern\n* geben Ratschläge an die Heime\n* passen auf, dass die Pflege und Betreuung in den Heimen gut ist\n* besuchen die Heime mehrmals im Jahr\n* prüfen Beschwerden sofort\n* kommen ohne Voranmeldung in die Heime und schauen, ob alles in Ordnung ist.
Falls Sie uns telefonisch nicht erreichen, können Sie uns Ihre Beschwerden, Probleme oder Vorschläge auch per E-Mail: heimaufsicht.kvr@muenchen.de oder Online\nzukommen lassen.;Wenn Sie uns nicht anrufen können, geht es auch anders.\nSchreiben Sie eine E-Mail an:\nheimaufsicht.kvr@muenchen.de\nOder schreiben Sie uns im Internet. Dort sagen Sie uns, was nicht gut ist.\nOder was gemacht werden soll.
Wenn Sie einen Hund neu aufnehmen oder Sie mit einem Hund nach München umziehen, müssen Sie ihn innerhalb von zwei Wochen zur Hundesteuer anmelden.;Wenn Sie einen neuen Hund bekommen oder mit einem Hund nach München ziehen, müssen Sie ihn in 2 Wochen für die Hunde-Steuer anmelden.
Hundesteuer;Geld, das man bezahlen muss, wenn man einen Hund hat.
Was bedeutet Hundesteuer?;Was ist die Hundesteuer?\n\nDie Hundesteuer ist Geld, das du bezahlen musst, wenn du einen Hund hast. Dieses Geld geht an die Stadt oder die Gemeinde, in der du wohnst. Die Höhe der Hundesteuer kann unterschiedlich sein. Es kommt darauf an, wo du wohnst und wie viele Hunde du hast. Manchmal muss man für bestimmte Hunde mehr bezahlen. Zum Beispiel für Hunde, die als gefährlich gelten.
Wer muss Hundesteuer bezahlen?;Wer hat einen Hund? Diese Person muss Hundesteuer zahlen.
Bis wann muss ich meinen Hund anmelden?;Wann muss ich meinen Hund anmelden?
Was passiert wenn ich meinen Hund nicht anmelden?;Was passiert, wenn ich meinen Hund nicht bei der Stadt melde?
Wo melde ich meinen Hund an?;Wo muss ich meinen Hund anmelden?
Was will die Stadtkämmerei von mir wissen?;Die Stadt-Verwaltung möchte etwas von dir wissen.
Wie melde ich meinen Hund an?;Wie kann ich meinen Hund anmelden?
Was kostet die Hundesteuer?;Wie viel muss man für die Hundesteuer bezahlen?
Was passiert nach dem Anmelden?;Was geschieht, wenn Sie sich angemeldet haben?
Wie kann ich die Hundesteuer bezahlen?;So zahlst du die Steuer für deinen Hund:\n\nWenn du einen Hund hast, musst du Geld an die Stadt zahlen. Das Geld heißt: Hundesteuer. Du bekommst einen Brief von der Stadt. In dem Brief steht, wie viel Geld du zahlen musst. Du musst das Geld auf das Konto von der Stadt überweisen. Die Kontodaten stehen auch im Brief. Du musst immer den Verwendungszweck angeben. Da schreibst du rein: Hundesteuer und deine Steuernummer. Die findest du auch im Brief. So weiß die Stadt, dass du bezahlt hast.
Was macht die Stadt mit dem Geld der Hundesteuer?;Was macht die Stadt mit dem Geld, das sie durch die Hundesteuer bekommt?
Voraussetzungen\nSie müssen Ihren Hund in folgenden Fällen zur Hundesteuer anmelden:\n* Sie haben einen Hund neu in Ihrem Haushalt aufgenommen.\n* Sie sind mit Ihrem Hund in die Landeshauptstadt München gezogen.\n* Der Hund wurde von einer von Ihnen gehaltenen Hündin geboren.;Ihr Hund muss angemeldet werden für die Hunde-Steuer. Das gilt in diesen Fällen:\n* Es gibt einen neuen Hund bei Ihnen zu Hause.\n* Sie sind mit Ihrem Hund nach München gezogen.\n* Ein Hund ist bei Ihnen zu Hause geboren. Die Mutter ist eine Hündin von Ihnen.
Benötigte Unterlagen\nSie können Ihren Hund online anmelden oder uns das ausgefüllte Formular „Anmeldung zur Hundesteuer“ per E-Mail oder Post zusenden. Auch eine persönliche Anmeldung ist möglich. In jedem Fall benötigen wir folgende Angaben:\n* Ihre persönlichen Daten und Kontaktinformationen\n* Rasse, Wurfjahr, Farbe und Geschlecht des Hundes\n* Datum des Beginns der Hundehaltung in München\n* Haltung des Hundes als Ersthund oder Zweithund;So könnten Sie Ihren Hund anmelden:\n\nSie können einen Hund im Internet anmelden. Oder Sie schicken uns das Formular „Anmeldung zur Hundesteuer“.\nDas Formular darf ausgefüllt sein.\nSie dürfen es uns auch mit der Post schicken. Oder als E-Mail.\nSie können auch zu uns kommen. Dann machen wir das zusammen.\n\nWir brauchen diese Informationen von Ihnen:\n* Ihre Daten und wie wir Sie erreichen können.\n* Informationen über Ihren Hund: Welche Rasse ist Ihr Hund? In welchem Jahr ist Ihr Hund geboren? Welche Farbe hat Ihr Hund? Ist Ihr Hund männlich oder weiblich?\n* Seit wann haben Sie den Hund in München?\n* Ist der Hund ihr Erster Hund oder Zweiter Hund?
Bearbeitungszeit\nSie müssen Ihren Hund nach einer Aufnahme oder nach Ihrem Umzug nach München innerhalb von zwei Wochen anmelden. Welpen, die von einer von Ihnen gehaltenen Hündin geboren wurden, müssen Sie vier Monate nach ihrer Geburt anmelden.\nNach der Anmeldung erhalten Sie einen Steuerbescheid. Dieser Bescheid gilt so lange, bis er geändert oder aufgehoben wird. Bitte beachten Sie, dass die Zustellung Ihres Bescheids in Einzelfällen bis zu drei Monate dauern kann.;Wenn Sie einen Hund haben und nach München umziehen: Dann müssen Sie Ihren Hund dort anmelden. Und zwar innerhalb von 2 Wochen nach dem Umzug oder nachdem Sie den Hund bekommen haben. \n\nWenn Ihr Hund Welpen bekommt: Dann müssen Sie die Welpen auch anmelden. Und zwar 4 Monate nachdem die Welpen geboren wurden. \n\nNachdem Sie Ihren Hund oder die Welpen angemeldet haben: Dann bekommen Sie einen Brief. In dem Brief steht, wie viel Steuern Sie für den Hund zahlen müssen. Dieser Brief gilt so lange, bis sich etwas ändert. \n\nBitte beachten Sie: Manchmal dauert es bis zu 3 Monate, bis Sie den Brief bekommen.
Gebührenrahmen\nDie Hundesteuer beträgt 100 Euro jährlich für jeden gehaltenen Hund.\n\nSollten Sie einen Kampfhund oder einen Hund mit vermuteten Kampfhundeigenschaften ohne Negativzeugnis halten, zahlen Sie 800 Euro jährlich. Bitte beachten Sie, dass die Haltung von Kampfhunden genehmigungspflichtig ist.;Sie müssen jedes Jahr Geld bezahlen, wenn Sie einen Hund haben. Das nennt man Hundesteuer. Für jeden Hund müssen Sie 100 Euro bezahlen.\n\nHaben Sie einen Kampf-Hund oder einen Hund, von dem man denkt, er könnte ein Kampf-Hund sein, müssen Sie mehr bezahlen. Dann kostet die Hundesteuer 800 Euro im Jahr. Aber Achtung: Sie dürfen einen Kampf-Hund nur haben, wenn Sie eine Erlaubnis dafür haben.
Fälligkeit\nBitte denken Sie daran, die Steuer unaufgefordert jeweils zum 15. Januar eines Jahres zu zahlen. Sie erhalten keine Zahlungserinnerung.;Bitte denken Sie daran: Jedes Jahr müssen Sie die Steuer bezahlen. Sie müssen das Geld bis zum 15. Januar bezahlen. Niemand sagt Ihnen, wann Sie das Geld bezahlen müssen. Sie bekommen keinen Brief, der Sie daran erinnert.
Abmeldung eines Hundes;Einen Hund abmelden.
Wenn Ihr Hund gestorben ist, Sie ihn abgeben oder Sie aus München wegziehen, müssen Sie Ihren Hund innerhalb von zwei Wochen von der Hundesteuer abmelden.;Wenn Ihr Hund nicht mehr lebt oder wenn Sie ihn weggegeben haben, müssen Sie ihn bei der Stadt abmelden. Das Gleiche müssen Sie tun, wenn Sie nicht mehr in München leben. Sie haben dafür 2 Wochen Zeit. Dann müssen Sie keine Steuern mehr für Ihren Hund bezahlen.
Wann muss ich meinen Hund abmelden?;Wann muss ich sagen, dass mein Hund nicht mehr bei mir ist?
Bis wann muss ich meinen Hund abmelden?;Wann muss ich meinen Hund abmelden?
Wo melde ich meinen Hund ab?;Wo sage ich, dass ich keinen Hund mehr habe?
Wie melde ich meinen Hund ab?;Wie sage ich, dass ich keinen Hund mehr habe?
Was passiert nach dem Abmelden?;Was passiert, wenn man sich abmeldet?
Voraussetzungen\nSie müssen Ihren Hund in folgenden Fällen von der Hundesteuer abmelden:\n* Ihr Hund ist gestorben.\n* Sie haben den Hund an eine andere Person abgegeben.\n* Sie haben den Hund ins Tierheim gebracht.\n* Sie ziehen aus München in eine andere Gemeinde um.;Bitte in leichte Sprache übersetzen: Bedingungen\nSie müssen Ihren Hund nicht mehr Hundesteuer zahlen, wenn:\n* Ihr Hund gestorben ist.\n* Ein anderer Mensch jetzt Ihr Hund hat.\n* Ihr Hund jetzt im Tierheim ist.\n* Sie ziehen nicht mehr in München um.
Benötigte Unterlagen\nSenden Sie uns das ausgefüllte Formular „Abmeldung eines Hundes“ per E-Mail, Post oder Fax zu oder bringen es persönlich vorbei. Legen Sie der Abmeldung bitte folgende Unterlagen bei:\n\n* Tod des Hundes: Sterbebescheinigung, zum Beispiel Euthanasiebestätigung des Tierarztes\n* Abgabe des Hundes: Kopie des Abgabevertrages\n* Abgabe ins Tierheim: Einlieferungsschein vom Tierheim\n* Wegzug aus München: Meldebestätigung des neuen Wohnorts\n\nZur Abmeldung Ihres Hundes müssen Sie auch Ihre Hundesteuermarke zurückgeben. Sie können die Marke persönlich vorbeibringen oder uns per Post zusenden.;Sie wollen Ihrem Hund abmelden?\nWir helfen Ihnen.\nErst füllen Sie das Formular aus.\nDas Formular heißt: Abmeldung eines Hundes.\nSchicken Sie das Formular zu uns.\nDas geht mit E-Mail, mit Post oder mit Fax.\nOder Sie kommen selbst vorbei.\nVergessen Sie diese Sachen nicht:\n\n* Wenn Ihr Hund gestorben ist: Geben Sie uns eine Bescheinigung.\nDiese Bescheinigung sagt: Der Hund ist wirklich tot.\nMeistens gibt es die Bescheinigung vom Tierarzt.\n* Wenn Sie den Hund jemand anderem gegeben haben: Machen Sie einen Vertrag.\nVon dem Vertrag machen Sie eine Kopie.\nDie Kopie geben Sie uns.\n* Wenn Sie den Hund ins Tierheim gegeben haben: Das Tierheim gibt Ihnen einen Zettel.\nAuf dem Zettel steht: Der Hund ist jetzt hier.\nDen Zettel geben Sie uns.\n* Wenn Sie aus München weggezogen sind: Bei Ihrem neuen Wohnort bekommen Sie einen Zettel.\nAuf dem Zettel steht: Sie wohnen jetzt hier.\nDen Zettel geben Sie uns.\n\nFür Ihren Hund haben Sie eine Steuer-Marke bekommen.\nDiese Marke geben Sie uns bitte zurück.\nSie können die Marke vorbei bringen.\nOder Sie können die Marke mit der Post schicken.
Bearbeitungszeit\nDie Hundesteuer wird für das Jahr der Abmeldung anteilig nach Monaten berechnet. Sie erhalten einen Bescheid, in dem noch zu zahlende oder überzahlte Beträge ausgewiesen werden. Bitte beachten Sie, dass zu Stoßzeiten die Bearbeitung Ihrer Abmeldung bis zu drei Monate dauern kann.;Das bedeutet: Wenn Sie Ihren Hund abmelden, muss die Hundesteuer für das Jahr neu berechnet werden. Sie zahlen die Hundesteuer nur für die Monate, in denen Sie Ihren Hund hatten. Sie bekommen einen Brief. In dem Brief steht, wie viel Geld Sie noch zahlen müssen. Oder ob Sie zu viel Geld gezahlt haben. Zu bestimmten Zeiten kann es sehr viel Arbeit geben. Dann kann es bis zu drei Monate dauern, bis wir Ihre Abmeldung bearbeiten.
Personalausweis;In leichter Sprache könnte Personalausweis als \
Deutsche Staatsbürger*innen sind verpflichtet, einen gültigen Personalausweis (oder Reisepass) zu besitzen, sobald sie 16 Jahre alt sind.;Wenn du aus Deutschland kommst und 16 Jahre alt bist, musst du einen gültigen Personalausweis oder Reisepass haben.
Was ist ein Personal-Ausweis?;Was ist ein Ausweis für Personen?
Im Personalausweis ist ein Computer-Chip.;In dem Personalausweis ist ein kleiner Computer.
Wofür brauche ich einen Personalausweis?;Für was ist ein Personalausweis gut?
Wie bekomme ich einen Personalausweis?;So bekommen Sie Ihren Ausweis:\n\n1. Sie gehen ins Bürger-Amt in Ihrer Stadt.\n2. Dort sagen Sie: Ich möchte einen neuen Ausweis.\n3. Sie müssen ein Foto von sich mitbringen. Das Foto muss aktuell sein.\n4. Sie müssen Ihren alten Ausweis mitbringen. Wenn Sie keinen haben, bringen Sie Ihre Geburts-Urkunde mit.\n5. Sie müssen Geld bezahlen für den neuen Ausweis.\n6. Nach ein paar Wochen ist Ihr neuer Ausweis fertig. Sie bekommen Post vom Bürger-Amt. Dort steht, wann Sie Ihren Ausweis abholen können. Dann gehen Sie wieder zum Bürger-Amt und holen Ihren Ausweis ab.
Was muss ich mitbringen?;Was soll ich mitnehmen?
Ich benötige das erste Mal einen Personalausweis.;Ich brauche zum ersten Mal einen Ausweis.
Was kostet der Personalausweis?;Wie viel Geld brauche ich für den Personalausweis?
Wie kann ich den Personalausweis bezahlen?;Wie kann ich meinen Ausweis zahlen?
Ich benötige einen Personalausweis für mein Kind.;Ich brauche einen Ausweis für mein Kind.
Wie lange dauert es, bis der Personalausweis fertig ist?;Wann ist der Personalausweis fertig?
Ich brauche meinen Personalausweis jetzt sofort!;Ich brauche meinen Ausweis jetzt gleich!
Wie erfahre ich, wann der Personalausweis fertig ist?;Wann ist mein Personalausweis fertig?
Wie bekomme ich meinen neuen Personalausweis?;So bekommen Sie einen neuen Personalausweis:\n\n1. Sie gehen zu Ihrem Einwohner-Melde-Amt. Das ist im Rathaus oder im Bürger-Büro.\n2. Sie sagen: Ich brauche einen neuen Personalausweis.\n3. Sie müssen ein Foto mitbringen. Das Foto muss neu sein. Sie müssen darauf gut zu sehen sein.\n4. Sie müssen Ihren alten Personalausweis mitbringen. Falls Sie den nicht mehr haben, sagen Sie das dem Mitarbeiter.\n5. Sie müssen Geld bezahlen. Wieviel, das sagt Ihnen der Mitarbeiter.\n6. Der Mitarbeiter macht alles fertig. Dann müssen Sie warten.\n7. Nach ein paar Wochen ist der neue Personalausweis da. Sie müssen ihn abholen. Wo Sie das machen, sagt Ihnen der Mitarbeiter.\n8. Denken Sie daran: Der neue Personalausweis ist sehr wichtig. Sie brauchen ihn, wenn Sie zum Beispiel eine Wohnung mieten möchten. Oder einen Vertrag unterschreiben. Passen Sie gut darauf auf.
Ich kann den Personalausweis nicht selbst abholen.;Ich kann meinen Ausweis nicht selbst holen.
Wie lange ist ein Personalausweis gültig?;Wann ist ein Personalausweis nicht mehr gut?\n
Hilfsmittel für Menschen mit einer Sehbehinderung;Hilfe für Menschen, die schlecht sehen können.
Sie erhalten den Personalausweis im Scheckkartenformat. Darin sind die aufgedruckten Daten, das Passfoto und die Fingerabdrücke digital abgelegt.;Sie bekommen einen Personalausweis. Der ist so groß wie eine Scheckkarte. Auf dem Ausweis stehen Ihre Daten. Zum Beispiel Ihr Name und Ihre Adresse. Ein Foto von Ihnen ist auch darauf. Und Ihre Fingerabdrücke. All das ist digital auf dem Ausweis gespeichert.
Benötigen Sie sofort einen Personalausweis, kann Ihnen ein vorläufiger Personalausweis ausgestellt werden. Dieser ist drei Monate gültig. Bitten bringen Sie hierfür zusätzlich ein biometrisches Lichtbild mit.;Brauchen Sie schnell einen Personalausweis? Dann können wir Ihnen einen vorläufigen Personalausweis machen. Der ist 3 Monate lang gültig. Bitte bringen Sie dafür ein extra Foto mit. Das Foto muss biometrisch sein.\n
Sollten Sie sehbeeinträchtigt sein, können Sie für Ihren Personalausweis einen transparenten Aufkleber mit den Braille-Zeichen 'ad' (für Ausweisdokument) bekommen. Sie können den Aufkleber bei uns bestellen, wenn Sie Ihren Personalausweis beantragen oder abholen. Den Braille-Aufkleber erhalten Sie jederzeit auch nachträglich. Rufen Sie dazu beim Bürgerbüro-Servicetelefon unter 089/233-96000 an oder schreiben Sie eine E-Mail an buergerbuero.kvr@muenchen.de\n\nBesonders beeinträchtigte Personen können unter bestimmten Voraussetzungen von der allgemeinen Ausweispflicht befreit werden.;Wenn Sie nicht gut sehen können, gibt es Hilfe für Ihren Personalausweis. \nAuf Ihrem Ausweis kann ein besonderer Aufkleber sein. \nDieser Aufkleber hat Zeichen, die man fühlen kann. \nDiese Zeichen heißen Braille-Zeichen. \nAuf dem Aufkleber steht 'ad'. \nDas heißt: Das ist ein Ausweis-Dokument. \n\nSie können den Aufkleber bei uns bestellen. \nDas geht, wenn Sie einen neuen Personalausweis beantragen. \nOder wenn Sie einen neuen Personalausweis abholen. \nSie können den Aufkleber auch später bekommen. \n\nDann rufen Sie an beim Telefon vom Bürger-Büro.\nDie Nummer ist 089/233-96000.\nOder Sie schreiben eine E-Mail.\nDie E-Mail-Adresse ist: buergerbuero.kvr@muenchen.de\n\nManche Menschen können wirklich schlecht sehen. \nDiese Menschen müssen unter bestimmten Bedingungen vielleicht keinen Ausweis haben.
Ab dem 16. Lebensjahr, können Sie den Antrag ohne Zustimmung von Sorgeberechtigten stellen.\nWird erstmals ein Ausweisdokument mit Lichtbild beantragt, muss ein Elternteil mit vorsprechen. Das ist auch notwendig, wenn das Aussehen des Kindes vom Foto im bisherigen Ausweisdokument stark abweicht.;Wenn Sie 16 Jahre alt sind, können Sie den Antrag alleine stellen. Sie brauchen keine Erlaubnis von Ihren Eltern oder Ihrem Vormund.\n\nWenn Sie zum ersten Mal einen Ausweis mit einem Foto beantragen, muss ein Elternteil mitkommen. Das ist auch wichtig, wenn Sie auf dem alten Ausweis-Foto ganz anders aussehen.
Voraussetzungen\n\nSie müssen in jedem Fall zur Beantragung persönlich vorsprechen. Sie können den Personalausweis grundsätzlich nur bei der Ausweisbehörde der Hauptwohnung beantragen.\n\nDie Ausweisbehörde muss sowohl die Antragsberechtigung wie auch die Echtheit der Unterschrift prüfen. Bitte legen Sie entsprechende Ausweisdokumente (Personalausweis, Reisepass) vor.;Um einen Antrag zu stellen, müssen Sie selber zur Behörde gehen. Sie können den Personalausweis nur dort beantragen, wo Sie hauptsächlich wohnen.\n\nDie Behörde prüft, ob Sie einen Ausweis beantragen dürfen und ob Ihre Unterschrift echt ist. Bitte bringen Sie einen Ausweis mit. Das kann ein Personalausweis oder ein Reisepass sein.
Gültigkeit der Personalausweise\n* Für Personen unter 24 Jahren: 6 Jahre\n* Für Personen über 24 Jahren: 10 Jahre\n* vorläufiger Ausweis: maximal 3 Monate\n\nEine Verlängerung ist bei keiner der drei aufgeführten Laufzeiten möglich.;Wie lange ist der Personalausweis gültig?\n\n* Sind Sie jünger als 24 Jahre? Dann ist Ihr Personalausweis 6 Jahre gültig.\n* Sind Sie älter als 24 Jahre? Dann ist Ihr Personalausweis 10 Jahre gültig.\n* Haben Sie einen vorläufigen Ausweis? Dann ist dieser höchstens 3 Monate gültig.\n\nSie können die Zeit nicht verlängern. Nach dieser Zeit brauchen Sie einen neuen Ausweis.
Hinweise zur Abholung\n\nSie können den Bearbeitungsstand Ihres Personalausweises online abfragen. Für die Abholung benötigen Sie einen vorab gebuchten Termin.\n\nDie Aushändigung kann an die Antragstellerin oder den Antragsteller oder an eine schriftlich bevollmächtigte Person erfolgen (Vollmacht zum Download erhältlich).;Hinweise zum Abholen\n\nSie können schauen, ob Ihr neuer Ausweis schon fertig ist.\nDafür gehen Sie im Internet auf eine Seite.\nUm den Ausweis abzuholen, brauchen Sie einen Termin.\nDen Termin machen Sie vorher aus.\n\nSie können selbst den Ausweis abholen.\nOder eine andere Person holt den Ausweis für Sie ab.\nDiese Person braucht dann eine Erlaubnis von Ihnen.\nDie Erlaubnis schreiben Sie auf ein Blatt Papier.\nDas Blatt Papier können Sie herunterladen.
Benötigte Unterlagen\n* Ausweisdokument (Personalausweis, Reisepass, Kinderreisepass – soweit vorhanden, bei Erstbeantragung Geburtsurkunde im Original, gegebenenfalls Ausweisdokumente der Person, die zur Identitätsbestätigung mit vorspricht)\n* aktuelles biometrisches Passbild\n* für Personen unter 16 Jahren: Personalausweis oder Reisepass aller sorgeberechtigten Personen\n* falls erforderlich: Zustimmungserklärung des abwesenden Elternteils (zum Download erhältlich)\n* die Gebühren sind bei Antragstellung vollständig zu entrichten;Das brauchen Sie:\n* Ein Dokument, das zeigt, wer Sie sind (Personalausweis, Reisepass, Kinderreisepass - wenn Sie haben, bei der ersten Anfrage die Geburtsurkunde im Original, vielleicht auch Ausweisdokumente von der Person, die mit Ihnen kommt und bestätigt, wer Sie sind)\n* Ein neues Foto von Ihnen, das nach bestimmten Regeln gemacht wurde\n* Für Leute unter 16 Jahre: Personalausweis oder Reisepass von allen Personen, die für Sie sorgen\n* Wenn nötig: Einwilligung von dem Elternteil, das nicht da ist (kann man runterladen)\n* Sie müssen alles bezahlen, wenn Sie es beantragen.
Bearbeitungszeit\nEtwa vier bis fünf Wochen;Ich brauche etwa 4 bis 5 Wochen Zeit, um die Arbeit zu erledigen.
Hinweise zur Abholung\n\nSie können den Bearbeitungsstand Ihres Personalausweises online abfragen. Für die Abholung benötigen Sie einen vorab gebuchten Termin.\n\nDie Aushändigung kann an die Antragstellerin oder den Antragsteller oder an eine schriftlich bevollmächtigte Person erfolgen (Vollmacht zum Download erhältlich).;So können Sie Ihren Ausweis abholen\n\nSie können im Internet nachsehen, ob Ihr Ausweis fertig ist. Wenn Ihr Ausweis fertig ist, können Sie ihn abholen. Dafür brauchen Sie einen Termin, den Sie vorher ausgemacht haben.\n\nDer Ausweis wird nur an die Person gegeben, die ihn beantragt hat. Oder an eine Person, die einen schriftlichen Auftrag dafür hat. Den Auftrag zum Ausdrucken gibt es im Internet.
Gebührenrahmen\n* unter 24 Jahren: 22,80 Euro\n* über 24 Jahren: 37 Euro;Das kostet:\n* wenn du unter 24 Jahre alt bist: 22,80 Euro\n* wenn du 24 Jahre oder älter bist: 37 Euro.
Wie bekomme ich als sehbeeinträchtige Person einen Braille-Aufkleber für meinen Ausweis?;Sind Sie eine Person, die schlecht sieht? Und Sie brauchen einen Aufkleber in Blindenschrift für Ihren Ausweis? So geht es:
Sollten Sie sehbeeinträchtigt sein, können Sie für Ihren Personalausweis einen transparenten Aufkleber mit den Braille-Zeichen 'ad' (für Ausweisdokument) bekommen. Sie können ihn bei uns bestellen, wenn Sie Ihren Personalausweis beantragen oder abholen. Den Braille-Aufkleber erhalten Sie jederzeit auch nachträglich. Rufen Sie dazu beim Bürgerbüro-Servicetelefon unter 089/233-96000 an oder schreiben Sie eine E-Mail an: buergerbuero.kvr@muenchen.de;Wenn Sie nicht gut sehen können, gibt es etwas für Ihren Personalausweis. Es ist ein Aufkleber, den man fühlen kann. Auf dem Aufkleber stehen Buchstaben für Blinde. Die Buchstaben sagen: Hier ist ein Ausweis. Sie können den Aufkleber bei uns bekommen. Zum Beispiel, wenn Sie einen neuen Ausweis machen. Oder wenn Sie Ihren neuen Ausweis abholen. Sie können den Aufkleber auch später noch bekommen. Rufen Sie uns einfach an. Unsere Telefon-Nummer ist: 089/233-96000. Oder Sie schreiben uns eine E-Mail. Unsere E-Mail-Adresse ist: buergerbuero.kvr@muenchen.de.
Reisepass;Reise-Pass
Wer außerhalb der Europäischen Union verreisen möchte, braucht einen Reisepass.;Wenn Sie in ein Land reisen wollen, das nicht in der Europäischen Union ist, dann brauchen Sie einen Reise-Pass.
Was ist ein Reise-Pass?;Ein Reise-Pass ist ein Dokument. Mit dieser Urkunde können Sie in andere Länder reisen.
Wofür brauche ich einen Reise-Pass?;Warum brauche ich einen Reise-Pass?
Wie bekomme ich einen Reise-Pass?;Wie kriege ich einen Ausweis für Reisen?
Was muss ich mitbringen?;Was soll ich mitnehmen?
Was kostet der Reise-Pass?;Wie viel Geld muss man für den Reise-Pass bezahlen?
Wie kann ich den Reise-Pass bezahlen?;Wie kann ich bezahlen für den Pass zum Reisen?
Ich reise sehr viel.;Ich fahre oft weg.
Ich will mit meinem Kind verreisen.;Ich möchte eine Reise machen. Mein Kind kommt mit.
Mein Kind ist unter 12 Jahre alt.;Mein Kind ist jünger als 12 Jahre.
Wie lange dauert es, bis der Reise-Pass fertig ist?;Wann ist der Reise-Pass fertig?
Ich brauche meinen Reise-Pass schnell!;Ich muss meinen Reise-Pass sofort haben!
Was kostet der Express-Pass?;Wie viel kostet der schnelle Eintritts-Karte?
Ich brauche meinen Reise-Pass jetzt sofort!;Ich brauche meinen Pass jetzt gleich!
Wie erfahre ich, wann der Reise-Pass fertig ist?;Wann ist mein Reise-Pass fertig?
Wie bekomme ich meinen neuen Reise-Pass?;So bekommst du deinen neuen Reisepass:\n\nDu gehst zu deinem Bürgerbüro in deiner Stadt. Dort sagst du, dass du einen neuen Reisepass haben willst. Sie sagen dir, welche Dokumente du mitbringen musst. Du musst vielleicht einen neuen Passbild machen lassen. \n\nWenn du alle Dokumente und das Passbild hast, gehst du wieder zum Bürgerbüro. Dort geben sie dir einen Antragsformular. Du füllst das Formular aus und gibst es mit den anderen Dokumenten und dem Passbild ab.\n\nDann bezahlst du eine Gebühr. Du musst warten, bis dein neuer Reisepass fertig ist. Sie sagen dir, wann du den neuen Reisepass abholen kommst. \n\nAm Abholtag gehst du wieder zum Bürgerbüro. Du zeigst deinen alten Ausweis und kannst deinen neuen Reisepass mitnehmen. \n\nFertig! Jetzt hast du einen neuen Reisepass.
Ich möchte meinen alten Reise-Pass behalten.;Ich will meinen alten Reise-Pass nicht weggeben.
Ich kann den Reise-Pass nicht selbst abholen.;Ich kann den Ausweis nicht selber holen.
Wie lange ist ein Reise-Pass gültig?;Wann ist ein Reise-Pass nicht mehr gut zu benutzen?
Beim Überschreiten von Staatsgrenzen ist grundsätzlich das Mitführen eines Ausweisdokumentes erforderlich. Bei Reisen innerhalb der Europäischen Union und in die meisten Urlaubsländer reicht für Deutsche jedoch die Vorlage des Personalausweises beziehungsweise Kinderreisepasses aus.;Wenn Sie in ein anderes Land reisen, müssen Sie einen Ausweis dabei haben. Für Deutsche, die in ein Land der Europäischen Union reisen oder in die meisten Urlaubsländer, ist der Personalausweis oder der Kinderreisepass genug.
